UUID,TestItem,TestValue
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,23
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,19
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.48666666666666664
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.7316666666666667
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.654
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.588
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,24
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,24
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,-0.8333333333333334
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,1.1583333333333334
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.693
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.494
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,26
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,19
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_x_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.31833333333333336
650ce936-c14c-11ea-b3fe-309c2391d63e,CRA_y_fromraytilt(arcmin)_red_Sample#1_Exit#1_Camera#1,0.625
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_x@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.6809999999999999
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF_y@15lp/deg_red_Sample#1_Exit#1_Camera#1,0.5529999999999999
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_x@index_red_Sample#1_Exit#1_Camera#1,27
650ce936-c14c-11ea-b3fe-309c2391d63e,MTF30_y@index_red_Sample#1_Exit#1_Camera#1,22
