SampleID,Trial,Operator,Exposuretime(ms),Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.21,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Red,0.0008486,0.002860093,0.004699596,9.902278331,6.377954281,,,,,,,,,,1.158569254,3.554366186,5.202226451,4.356362931,4.043433087,5.974010599
19B167.04.22,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Red,0.000751031,0.00287379,0.004499562,11.13473228,5.094796912,,,,,,,,,,1.326937269,3.329280039,4.677474627,3.770785269,3.839835286,5.35665379
19B167.04.31,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Red,0.000958539,0.003338881,0.005551328,12.91171417,5.953851014,,,,,,,,,,1.190271657,2.902257624,3.47963819,5.319417111,5.740778289,9.28918306
19B167.04.32,1,Zhida,30,Individual dark field and color filter calibration,IQT-HT1,Red,0.000901515,0.003074031,0.00489215,12.62246197,4.632424847,,,,,,,,,,1.240520055,3.962597386,6.914120675,4.521241376,5.176013131,6.793161008
19B167.04.11,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Red,0.000759484,0.002799247,0.005800129,23.14766422,6.589385862,,,,,,,,,,1.194696971,2.617240015,3.266249827,5.008371695,5.077463225,9.737312351
19B167.04.12,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Red,0.00064833,0.00258923,0.005001597,15.75258882,4.969072913,,,,,,,,,,1.349552213,2.865437547,3.6190826,4.559411493,4.70475852,8.168885699
19B167.04.21,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Red,0.000772944,0.002823879,0.004700474,13.07596455,6.444909721,,,,,,,,,,1.630601108,4.876940329,5.298957123,4.634102532,4.30847556,6.530096482
19B167.04.22,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Red,0.000677554,0.002850996,0.004503366,15.64568122,5.119412648,,,,,,,,,,1.523176426,3.767169837,4.562999088,4.025981606,4.069866235,5.753366682
19B167.04.31,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Red,0.000895935,0.003306039,0.005532679,19.04911696,5.872302837,,,,,,,,,,1.252576179,3.574059079,3.283228327,5.863941417,5.876130904,9.315507095
19B167.04.32,1,Zhida,50,Individual dark field and color filter calibration,IQT-HT1,Red,0.000827351,0.003055507,0.004906455,13.68111451,4.55029291,,,,,,,,,,1.455566276,5.162451919,6.959638427,4.965842795,5.466791142,7.300504268
