SampleID,Trial,Operator,Exposuretime,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,Angular uniformity,Spatial uniformity,CU_B,CU_G,CU_R,,,,,,,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B251.13.32,3,Zhida,AE,without SLB calibration,IQT4,Blue,0.004279645,0.006369763,0.002446071,66.03695997,1.282004599,4.225463871,5.995378459,22.17126321,,,,,,,11.5652575,11.76031,2.2272775,9.283979427,16.87638577,31.20670815
19B167.04.11,1,Zhida,AE,without SLB calibration,IQT4,Red,0.002053059,0.004923393,0.006213474,1040.936768,4.093123187,7.578015272,5.569172638,30.51829692,,,,,,,2.0111725,2.69161,2.6517775,4.330750799,4.438083686,8.23646684
19B167.04.11,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001855126,0.004545292,0.006423571,858.2948189,4.140838123,6.633887526,5.414953031,29.56070833,,,,,,,2.0222675,2.681425,2.626235,4.118248482,4.311692572,8.025355622
19B167.04.11,3,Zhida,AE,without SLB calibration,IQT4,Red,0.002052617,0.004945635,0.006306374,789.3211041,4.131679645,7.780252062,5.560227406,29.65904505,,,,,,,2.022165,2.7359725,2.710885,4.343484218,4.426756417,8.293556846
19B167.04.12,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001790854,0.004771726,0.005421886,327.5413714,2.758033655,10.18008389,5.812275572,22.0487469,,,,,,,1.8173925,2.141795,2.6360475,3.952649681,4.055280377,6.307826301
19B167.04.12,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001603655,0.00443191,0.005785745,401.9584086,2.810117085,9.383498432,5.673904203,23.89627053,,,,,,,1.85273,2.17036,2.66236,3.814077758,4.007604306,6.504852272
19B167.04.12,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001813082,0.004797972,0.005353742,340.3298444,2.736927391,9.977601947,5.702974989,24.06198849,,,,,,,1.8158625,2.11857,2.5951075,3.937545267,4.044478324,6.282182109
19B167.04.21,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001817309,0.004375726,0.004130444,151.0622646,3.849555066,8.898156273,4.504605196,12.37793714,,,,,,,2.866605,4.37461,4.6044325,3.935403012,3.916624518,5.341175795
19B167.04.21,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001854195,0.004442671,0.004115331,157.0508682,3.915052082,10.296404,4.53713865,12.29984772,,,,,,,2.903665,4.444515,4.57305,4.04847598,3.950167111,5.328397376
19B167.04.21,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001809279,0.004370645,0.004174403,152.9336534,3.910161064,8.074947005,4.528370367,12.48049765,,,,,,,2.895085,4.4136175,4.63378,3.964799787,3.919570119,5.305730568
19B167.04.22,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001694687,0.004006903,0.003700048,164.5671767,2.710823107,7.335441688,4.447206119,13.25702312,,,,,,,2.7813125,3.68919,4.0662625,3.597698674,3.731037589,4.914823894
19B167.04.22,2,Zhida,AE,without SLB calibration,IQT4,Red,0.001696011,0.004034986,0.0037583,179.2843172,2.843760458,7.625592135,4.437931012,14.37976553,,,,,,,2.8089775,3.7767575,4.0943825,3.714880144,3.803400894,5.003979442
19B167.04.22,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001707767,0.004014316,0.003655317,164.5373273,2.671436585,7.932414938,4.426065851,13.93211029,,,,,,,2.7492375,3.6734175,4.04032,3.574946749,3.731210808,4.910969942
19B167.04.31,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001966156,0.005236004,0.006496029,326.5249898,2.823316655,9.084012024,5.741567257,24.05372043,,,,,,,2.2652525,3.3073275,2.74558,4.834036971,4.669915141,7.20766875
19B167.04.31,2,Zhida,AE,without SLB calibration,IQT4,Red,0.00222417,0.005725504,0.006149904,323.6681124,2.922856195,13.30265786,5.986732414,22.85805199,,,,,,,2.204365,3.37675,2.80364,5.358659652,5.055443726,7.542724074
19B167.04.31,3,Zhida,AE,without SLB calibration,IQT4,Red,0.001957112,0.005222171,0.006579214,467.3383675,2.872958587,9.240559176,5.731751508,23.27032987,,,,,,,2.270135,3.3541525,2.8026225,4.898672478,4.687133044,7.257178495
19B167.04.32,1,Zhida,AE,without SLB calibration,IQT4,Red,0.001656756,0.004254562,0.004485445,168.293393,2.977110986,6.528181831,5.553156782,13.80806863,,,,,,,3.149,4.7642375,5.8887625,4.685450877,4.737312914,5.994597141
