SampleID,Date,Trial,Operator,Dicing,Color,TP_Blue,TP_Green,TP_Red,Angular uniformity,Spatial uniformity,CU_Blue,CU_Green,CU_Red,Center contrast_Blue,Center contrast_Green,Center contrast_Red,Mean contrast_Blue,Mean contrast_Green,Mean contrast_Red
19B157.06.12,30-Dec,2,P,N,Red,0.001300,0.004200,0.005700,367.600000,3.620000,6.380000,4.950000,24.230000,2.930000,4.950000,4.270000,5.020000,5.460000,8.740000
19B157.06.21,30-Dec,2,P,N,Red,0.001400,0.003900,0.004300,210.210000,4.060000,5.800000,4.790000,18.620000,3.180000,5.280000,4.170000,4.020000,4.460000,5.780000
19B157.06.22,30-Dec,2,P,N,Red,0.001600,0.004300,0.004800,260.550000,2.660000,6.560000,4.770000,17.840000,1.720000,2.340000,4.060000,3.190000,3.690000,5.700000
19B157.06.31,30-Dec,2,P,N,Red,0.001700,0.005200,0.006700,701.200000,2.710000,8.370000,5.990000,30.120000,2.370000,3.370000,2.510000,4.920000,4.920000,9.970000
19B157.06.32,30-Dec,2,P,N,Red,0.001500,0.004300,0.005400,779.080000,4.350000,5.290000,5.140000,32.140000,2.530000,4.120000,3.160000,4.620000,4.950000,10.500000
19B157.06.11,30-Dec,3,P,N,Red,0.001500,0.004500,0.005700,1270.870000,3.490000,7.080000,6.150000,32.600000,2.680000,4.380000,3.210000,4.610000,5.080000,12.560000
19B157.06.12,30-Dec,3,P,N,Red,0.001300,0.004200,0.005700,369.830000,3.760000,6.450000,4.980000,25.020000,2.990000,5.200000,4.500000,5.180000,5.620000,8.930000
19B157.06.21,30-Dec,3,P,N,Red,0.001400,0.004100,0.004200,237.690000,4.130000,5.830000,4.820000,18.530000,3.190000,5.370000,4.070000,4.160000,4.620000,5.980000
19B157.06.22,30-Dec,3,P,N,Red,0.001500,0.004200,0.004800,243.560000,2.720000,5.890000,4.850000,22.330000,1.730000,2.390000,4.040000,3.180000,3.710000,5.830000
19B157.06.31,30-Dec,3,P,N,Red,0.001600,0.005000,0.006800,557.850000,2.870000,7.220000,5.890000,30.360000,2.420000,3.640000,2.660000,4.950000,4.920000,10.200000
19B157.06.32,30-Dec,3,P,N,Red,0.001400,0.004200,0.005400,858.490000,4.440000,5.260000,5.080000,33.030000,2.620000,4.370000,3.280000,4.530000,4.870000,10.760000
19B157.01.22,28-Jan,1,P,Y,Red,0.001340,0.003697,0.003985,195.852885,2.929607,7.870891,6.056731,18.550810,3.334160,4.237811,5.704791,4.716327,4.484668,5.442385
19B157.01.31,28-Jan,1,P,Y,Red,0.001545,0.004761,0.006043,609.091087,3.104674,10.927128,6.271036,31.760073,2.324249,3.019700,2.880522,4.701297,4.456653,8.925043
19B157.01.32,28-Jan,1,P,Y,Red,0.001385,0.004169,0.005311,722.962807,3.556692,10.069226,6.044810,33.870036,2.501549,3.003246,3.703741,4.639022,4.786055,9.271079
19B157.06.22,28-Jan,1,P,Y,Red,0.001829,0.004800,0.004585,157.758188,2.792076,11.491906,5.360271,19.885415,1.786466,2.266508,4.009705,3.591775,3.811643,5.662342
19B157.06.31,28-Jan,1,P,Y,Red,0.001838,0.005507,0.006573,311.341329,2.271956,13.481713,6.736924,25.390067,2.706415,2.687326,2.083261,4.730125,4.667227,7.846521
19B157.06.32,28-Jan,1,P,Y,Red,0.001655,0.004719,0.005185,689.394732,4.500926,9.953345,5.574741,32.112338,2.956699,4.111309,3.381445,4.994455,5.166899,10.352000
