SampleID,Trial,Operator,Exposure,Dark_Calibr,WhichIQT,Wgcolor,TP_B,TP_G,TP_R,AU,SU,CU_B,CU_G,CU_R,dummy1,dummy2,dummy3,dummy4,dummy5,dummy6,Centercontrast_B,Centercontrast_G,Centercontrast_R,Meancontrast_B,Meancontrast_G,Meancontrast_R
19B167.04.31,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001762629,0.004991193,0.005418819,170.5031564,2.501940825,,,,,,,,,,1.977409157,3.374713036,2.881606683,5.211051549,4.932712869,7.578903737
19B167.04.32,2,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001424675,0.003948527,0.00391061,156.8118299,2.782956179,,,,,,,,,,2.64198987,5.249839461,6.329497276,5.007491337,5.028476878,6.585978812
19B167.04.11,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.00154835,0.004165444,0.005557774,247.6071338,3.81777976,,,,,,,,,,1.872252493,2.484973866,2.644175323,4.732707651,4.559085264,8.323379618
19B167.04.12,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.00135782,0.004217767,0.005046898,209.9529819,2.47859016,,,,,,,,,,2.536530418,2.103145061,2.559465957,4.150899177,4.048404125,6.581002841
19B167.04.21,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001514784,0.004024196,0.00364574,134.6088673,3.445308527,,,,,,,,,,2.169182976,4.374075852,4.763804448,4.207901098,4.005132327,5.815227871
19B167.04.22,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001404815,0.003625757,0.003228235,120.9137593,2.416491227,,,,,,,,,,3.010986411,3.871029447,4.23740428,3.775618439,3.833393571,5.238646902
19B167.04.31,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001713904,0.004921337,0.00554849,196.51848,2.502288257,,,,,,,,,,1.911415686,3.362257657,2.879851273,5.112562133,4.86636013,7.564651168
19B167.04.32,3,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Red,0.001402129,0.003902893,0.00393963,167.6846363,2.771055875,,,,,,,,,,2.59163732,5.189008029,6.418745108,4.96447207,5.026512341,6.622896878
19B170.12.11,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.005430286,0.005038297,0.001012624,155.4446903,1.577053507,,,,,,,,,,10.05240458,16.57368996,23.23518811,13.27002683,15.76353759,60.92686564
19B170.12.12,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.002899303,0.002493093,0.00059658,73.76392092,1.695469505,,,,,,,,,,12.43163123,26.63047862,45.86754235,8.801417204,13.10443313,411.5328231
19B170.12.21,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.00318086,0.002682791,0.000621127,68.55110071,1.757644581,,,,,,,,,,9.470583602,17.11382904,-84.70319196,7.783047737,11.15339195,240.051174
19B170.12.22,1,AM,AE,"Indv. Darkfield, calculated contrast",IQT-HT1,Blue_badalignment,0.003486167,0.003093289,0.000601924,105.3116269,1.879820352,,,,,,,,,,11.18254702,23.86882365,30.02517114,10.61036697,15.12561397,461.2332767
